participant,emote,image,rateVALENCE,rateAROUSAL
1,low,neg,-1.2070657493854209,-2.1800396489486737
1,low,neutral,0.27742924211066,-1.3409931921000284
1,low,pos,1.084441176683056,-0.2942938587637133
2,low,neg,-2.3456977026293493,-0.4658975404061103
2,low,neutral,0.42912468881105,1.449496265287132
2,low,pos,0.506055892157574,-1.068642723674581
3,low,neg,-0.5747399601346488,-0.855364633737507
3,low,neutral,-0.546631855784187,-0.2806230019574539
3,low,pos,-0.564451999093283,-0.9943400762956649
4,low,neg,-0.8900378290441038,-0.968514317872049
4,low,neutral,-0.477192699753547,-1.107318192641766
4,low,pos,-0.998386444859704,-1.25198588563894
5,low,neg,-0.77625389463799,-0.5238281189873557
5,low,neutral,0.06445881727626934,-0.49684995726669995
5,low,pos,0.9594940589707713,-1.8060312568019488
6,low,neg,-0.1102854943907743,-0.5820759246893328
6,low,neutral,-0.5110095058066422,-1.1088896244267814
6,low,pos,-0.9111954166298112,-1.0149620094920093
7,high,neg,-0.8371716802689395,-0.16230952355681924
7,high,neutral,2.415835178489341,0.5630558189945174
7,high,pos,0.1340882201520312,1.6478174728150614
8,high,neg,-0.4906858966909428,-0.7733534239436951
8,high,neutral,-0.44054787235322707,1.6059096288572963
8,high,pos,0.45958944100585364,-1.15780854769441
9,high,neg,-0.6937202469374755,0.6565884643328073
9,high,neutral,-1.448204910386472,2.5489910707178565
9,high,pos,0.5747557209007284,-0.03476038980383759
10,high,neg,-1.023655722963879,-0.6696335796619575
10,high,neutral,-0.015138300364181678,-0.007604755710974629
10,high,pos,-0.9359486011683936,1.7770844481434263
11,high,neg,1.1022975462002629,-1.1386077367509086
11,high,neutral,-0.4755930788690574,1.3678271794232626
11,high,pos,-0.7094400375125062,1.3295647907823602
12,high,neg,-0.5012580605947614,0.33647279720381734
12,high,neutral,-1.629093469078704,0.006892838441957958
12,high,pos,-1.1676192620941863,-0.4554687381614281
